"Feature","MeanDecreaseGini"
"X202112_at",3.17749248768754
"X32625_at",2.91977115987461
"X206481_s_at",2.73402403343783
"X204677_at",2.1152585109774
"X206701_x_at",2.05475427591232
"X204396_s_at",1.69353645674971
"X201540_at",1.61637911886664
"X208982_at",1.61292494432023
"X204271_s_at",1.53885228814164
"X210299_s_at",1.49626835561811
"X218665_at",1.37412791652347
"X219597_s_at",1.28921716333659
"X205935_at",1.20890874973066
"X209469_at",1.10630540990685
"X200911_s_at",1.09646325440037
"X213103_at",1.08684090231119
"X219213_at",1.03121121522453
"X203065_s_at",1.02335172413793
"X209555_s_at",1.01710344827586
"X209470_s_at",0.944136861801657
"X205200_at",0.757269568175743
"X206283_s_at",0.692947063204994
"X203865_s_at",0.688550542948097
"X204931_at",0.683911330049261
"X200878_at",0.66708431679882
"X206702_at",0.594246388210457
"X205357_s_at",0.520123040752351
"X202878_s_at",0.518400343518987
"X209614_at",0.501540229885057
"X219436_s_at",0.429073078845193
"X204894_s_at",0.42833152900294
"X209074_s_at",0.422068965517241
"X206069_s_at",0.417471264367816
"X219719_at",0.34216091954023
"X210081_at",0.337379310344828
"X209875_s_at",0.26032183908046
"X208981_at",0.260307199924234
"X204719_at",0.259770114942529
"X217046_s_at",0.259632430213465
"X204642_at",0.255769715142429
"X204731_at",0.253057471264368
"X213974_at",0.179489899568488
"X204273_at",0.173685276409414
"X205846_at",0.166252873563218
"X206209_s_at",0.163727422003284
"X207547_s_at",0.0897672413793103
"X206742_at",0.0868965517241379
"X214505_s_at",0.0837208538587849
"X203980_at",0
"X204482_at",0
