"Probe_ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","Regulation"
"209875_s_at",4.36441512427304,9.69923956271028,20.9993700546069,5.22079560251313e-40,7.75566589405335e-37,80.5989404595395,"Upregulated"
"201577_at",1.74771340239162,9.70462189485981,16.6607929970948,1.1304854702864e-31,2.39910549851351e-29,61.5718779342191,"Upregulated"
"200700_s_at",1.42227021201337,10.5777351008505,15.9777801010435,2.87904715712339e-30,4.97316339551787e-28,58.3561041146284,"Upregulated"
"217871_s_at",1.36643397130612,11.5221092136075,15.8073860094436,6.51498278891644e-30,1.04441267255701e-27,57.5447101811214,"Upregulated"
"206499_s_at",1.01044086179803,7.99945745918692,14.7857171754206,9.38279858795594e-28,1.14249672642307e-25,52.6052727551268,"Upregulated"
"201013_s_at",1.66910409621463,9.26509329483178,14.7021564947393,1.41652657187503e-27,1.71545986962453e-25,52.1957916326547,"Upregulated"
"209529_at",1.87245344223892,7.47715359665421,14.6738020607745,1.62932120287184e-27,1.95194432062329e-25,52.0566600845517,"Upregulated"
"203744_at",2.21619725443737,9.24300718960748,14.6192420488003,2.13341941907195e-27,2.52866941038193e-25,51.788681048374,"Upregulated"
"217771_at",1.83141413145848,8.19691660485981,14.5491439401934,3.01787485789392e-27,3.50246382596095e-25,51.4438844515822,"Upregulated"
"212353_at",2.36007949937333,8.74754463738318,14.2339658073861,1.44510647605745e-26,1.51179847915438e-24,49.8867457995711,"Upregulated"
"201292_at",2.4559629390102,7.38557097898131,14.1313335584546,2.41223921403689e-26,2.43221386454227e-24,49.377313582028,"Upregulated"
"201231_s_at",1.07591118475369,11.7753632807477,14.0791281146551,3.13183539574364e-26,3.07430344155752e-24,49.1177430554267,"Upregulated"
"212680_x_at",1.22755964527058,8.7512889712243,13.8949752338258,7.884027012395e-26,7.40635316493605e-24,48.1997804327614,"Upregulated"
"212354_at",2.11829633553483,9.03014105160748,13.8943061515357,7.91056883388583e-26,7.40635316493605e-24,48.1964386310026,"Upregulated"
"217809_at",1.12762736244441,10.0112128073551,13.8807661941213,8.46739195478813e-26,7.85644965048027e-24,48.1288017620193,"Upregulated"
"213453_x_at",1.02841124179099,12.5963650683178,13.813034223337,1.1902951039852e-25,1.05251372230564e-23,47.790167924679,"Upregulated"
"202200_s_at",1.02044975396235,8.33556198714953,13.7501892296107,1.63332720501581e-25,1.39982423497566e-23,47.4755396475888,"Upregulated"
"209035_at",1.8202872279722,8.11610665547664,13.692424291853,2.18544255996835e-25,1.80363765051018e-23,47.1859847046466,"Upregulated"
"218469_at",2.54836273574384,7.25186027104673,13.4344934703631,8.05418306397589e-25,6.27522242009003e-23,45.8889501984197,"Upregulated"
