"","GSM254625","GSM254626","GSM254627","GSM254628","GSM254629","GSM254630","GSM254631","GSM254632","GSM254633","GSM254634","GSM254635","GSM254636","GSM254637","GSM254638","GSM254639","GSM254640","GSM254641","GSM254642","GSM254643","GSM254644","GSM254645","GSM254646","GSM254647","GSM254648","GSM254649","GSM254650","GSM254651","GSM254652","GSM254653","GSM254654","GSM254655","GSM254656","GSM254657","GSM254658","GSM254659","GSM254660","GSM254661","GSM254662","GSM254663","GSM254664","GSM254665","GSM254666","GSM254667","GSM254668","GSM254669","GSM254670","GSM254671","GSM254672","GSM254673","GSM254674","GSM254675","GSM254676","GSM254677","GSM254678","GSM254679","GSM254680","GSM254681","GSM254682","GSM254683","GSM254684","GSM254685","GSM254686","GSM254687","GSM254688","GSM254689","GSM254690","GSM254691","GSM254692","GSM254693","GSM254694","GSM254695","GSM254696","GSM254697","GSM254698","GSM254699","GSM254700","GSM254701","GSM254702","GSM254703","GSM254704","GSM254705","GSM254706","GSM254707","GSM254708","GSM254709","GSM254710","GSM254711","GSM254712","GSM254713","GSM254714","GSM254715","GSM254716","GSM254717","GSM254718","GSM254719","GSM254720","GSM254721","GSM254722","GSM254723","GSM254724","GSM254725","GSM254726","GSM254727","GSM254728","GSM254729","GSM254730","GSM254731"
"GSM254625",1,0.585216726501119,0.605687566606615,0.572985989635452,0.673852998495641,0.698722817483152,0.778825095394265,0.746075437221158,0.71475332913051,0.671457392516434,0.630732810817993,0.709835695118503,0.761661722631924,0.598206688516808,0.71754239290735,0.615002065230033,0.730660473115581,0.412441593187633,0.525533767183256,0.590953359944779,0.695531940960486,0.550690932175805,0.671570896453414,0.68990937898341,0.563523508114084,0.728306011621709,0.631878871907057,0.70610490405299,0.549942282038379,0.722839620524826,0.580075227544269,0.736221336830285,0.75283940208364,0.548307073626609,0.822356008467104,0.568562541780699,0.728864854374983,0.61894122051386,0.637526854527066,0.763173882491105,0.558832062987342,0.760653247276354,0.694498400866086,0.79583509268751,0.588278273076682,0.755822419414522,0.630226904720206,0.554709091254248,0.583093138332226,0.801051047800488,0.688490604607709,0.630342562417239,0.701932334563558,0.533767579568225,0.637008355303834,0.792168803874698,0.547250487249874,0.630682735787908,0.622322030543605,0.715934598611458,0.558668505159439,0.776069084250668,0.782609784534918,0.730456985248109,0.555454326003835,0.710930675084437,0.608216739205861,0.644394038450037,0.58032610905549,0.704318176060642,0.730382455611561,0.720961125645025,0.5276763281668,0.666238235037306,0.586641189412216,0.541575728124424,0.722112359750704,0.568265012347441,0.618145246556961,0.574884276791138,0.633968613387245,0.685324488925139,0.704231967324139,0.686853590745651,0.728647251987646,0.756664229634758,0.612852562871055,0.605626248069776,0.58141484018533,0.638012589051076,0.56219550079252,0.729576637939372,0.659141410679762,0.665177250561333,0.547399213010881,0.679915388527467,0.47212068710572,0.613727770506026,0.673571534047805,0.502429156235836,0.682604264344091,0.78548558384651,0.61854582613951,0.739654129680681,0.810158882724491,0.605576296818892,0.594076013839221
"GSM254626",0.585216726501119,1,0.296357548544524,0.944362020860131,0.542653218536641,0.469503837800731,0.469462033280727,0.740445406240687,0.309577892425568,0.92095780267735,0.885194287963796,0.327004895705863,0.577625877442416,0.8445620192802,0.47631581356118,0.913960163587872,0.435154182505652,0.145342425421322,0.940969818610495,0.912493852506563,0.521113444656388,0.926425906177168,0.324637642930338,0.709509278674513,0.934127132340496,0.457558642367862,0.873236907008593,0.4064354474225,0.921796973596357,0.673428066607593,0.960275472934992,0.679496611075858,0.422510027489916,0.90693550777982,0.523679363672849,0.940631872054427,0.518978057251292,0.952656713042611,0.282542494236688,0.433577816058758,0.923912698125825,0.439581267409927,0.847913693247937,0.321976751904453,0.960557531178141,0.458198357490628,0.949016734920449,0.304557049434698,0.963757438267141,0.410034977234562,0.383308676361109,0.928365479155891,0.863160277830993,0.198421593564069,0.91912584111677,0.39852102002264,0.893285647059777,0.191881500054055,0.905677287291202,0.414517962565516,0.940238919909457,0.44239165223541,0.46048975044866,0.259548112871855,0.912582817910459,0.275283121250214,0.898492145817467,0.283478916845655,0.947891471568832,0.703809031608879,0.82663239950912,0.315884120257454,0.197691404810424,0.392351681065825,0.947796900780714,0.216169882818153,0.469775069832993,0.936270516637198,0.890409994658205,0.402756683655602,0.432125224219421,0.883918425857123,0.349843255841792,0.899550764516937,0.507297813366846,0.770003103087,0.911441679424935,0.889590778594522,0.938626226799746,0.413253474983111,0.952848226116883,0.356408826590415,0.931375458212275,0.438617410946037,0.947146758876193,0.438956467108544,0.254652670110718,0.369796931667428,0.559578190893965,0.320091137492955,0.884051228326133,0.665811336289912,0.939296824726881,0.380619070202623,0.686267522052111,0.952676906100492,0.951156868041988
"GSM254627",0.605687566606615,0.296357548544524,1,0.24801231555627,0.58029249799194,0.727891621582195,0.687065092901083,0.503083570981239,0.700428811893862,0.414575107761437,0.412272458750213,0.709565737850338,0.630910084639972,0.434817917484528,0.699513549996711,0.309968687107224,0.668094678680738,0.725799551342741,0.269268789139901,0.298220642005162,0.683617815450351,0.257798712257961,0.737540245251517,0.537363788612766,0.258122599805972,0.672029422886646,0.305281814841092,0.625304627059279,0.228755280106322,0.522028372664438,0.310983030256276,0.556739396289121,0.670318296034534,0.212650334691662,0.672954691326991,0.285717114254308,0.611385659974904,0.347361267166578,0.758966117506182,0.680492332797109,0.341950094052055,0.662203789623075,0.426952648337033,0.656445922168982,0.332759346704186,0.66016635384005,0.348486811002056,0.704917352937894,0.308211801226826,0.698723147149067,0.693784773512371,0.344926093640014,0.415735839515713,0.576196642805529,0.355963216526287,0.68076172417331,0.21667991201684,0.618275637745758,0.330937251257588,0.650715370478272,0.293370579950517,0.590799438460527,0.708668469598344,0.688805320826403,0.272311857893059,0.678845067082153,0.363212302884699,0.709909605207704,0.283757423322768,0.551003186709795,0.464017773913851,0.713699794595946,0.855216618786362,0.725025099270379,0.300151807740879,0.618901731628564,0.60058864716654,0.304597741323391,0.373485846854599,0.591564072848091,0.644461423125414,0.378770182628338,0.635130398817853,0.418894924615151,0.621364028891011,0.486743116239137,0.316629640994003,0.339292642033172,0.291837833145915,0.57642055848179,0.326105923344565,0.55282493613064,0.368745729111727,0.630300545160465,0.279597609659383,0.658834021446761,0.492944487784992,0.681755988558887,0.51083302387609,0.56746796067541,0.43092382843661,0.578300992814923,0.293280701172414,0.67085458228645,0.640280254124202,0.294424871876557,0.29548184582555
"GSM254628",0.572985989635452,0.944362020860131,0.24801231555627,1,0.489822131929097,0.438930449202692,0.444901476788075,0.720196730792193,0.260868603666154,0.896690242609441,0.819655624843982,0.282115688365025,0.560957760739594,0.774418066249512,0.400947810677011,0.940039308860044,0.426178801030861,0.0813283688945205,0.912663868736666,0.949504780486185,0.488729637313837,0.915848320697844,0.30597817736906,0.701296181341859,0.919587243787954,0.440383753514753,0.910845885663289,0.360458096268373,0.925577752346473,0.66638904993717,0.943173233452296,0.626908811086581,0.356607858212636,0.937460674034579,0.486263947513968,0.936187956611455,0.433821296968009,0.903096010544259,0.255104630795732,0.436149104716576,0.881619464435877,0.404016755926546,0.843714262888352,0.289038546060583,0.909970356501548,0.418090287779879,0.927412696968439,0.247574844731754,0.930175330701255,0.391612386015025,0.368699714704668,0.934703084614529,0.888450064792223,0.177547102053556,0.919708356779482,0.377109177457682,0.921160329581175,0.166288310356976,0.913694745148169,0.38632936377501,0.929012832351311,0.441145678334822,0.420665091047493,0.237701395325498,0.914405351131398,0.236283095396599,0.876384397401399,0.246675462932075,0.936798582552886,0.689859455661674,0.830146045832776,0.24190483922057,0.121397135763941,0.348979559888466,0.918572519184626,0.20472698481819,0.436423839495556,0.926131798474735,0.881319787179195,0.408389782661282,0.38259123901431,0.898191703177066,0.312455551206186,0.87055503830835,0.489523160835719,0.737335615748013,0.910998884518947,0.898403334084705,0.931722312369287,0.397168406064898,0.90514659778811,0.3348454613762,0.931447528519745,0.408799923126573,0.922771642468417,0.422773639156124,0.27695646973926,0.308340903464131,0.538803879091682,0.331747735289293,0.840198480851426,0.624473438094199,0.93864584616962,0.302612621902598,0.663316111491514,0.94989459301309,0.954321360765132
"GSM254629",0.673852998495641,0.542653218536641,0.58029249799194,0.489822131929097,1,0.649444752023587,0.638202775010328,0.632519355660802,0.669605500834306,0.652965692355986,0.658282038063267,0.673289192416964,0.648398428564923,0.646677389179408,0.720695243548418,0.572888063436058,0.676686586359713,0.402588402513418,0.524396332797297,0.533311268113162,0.672524874656551,0.550048841814946,0.554099241249435,0.726453758839367,0.56699411792292,0.567120729850339,0.581409794962125,0.668360714739533,0.545185769731697,0.71374907677695,0.550031939810809,0.694111787797069,0.639278173614961,0.514850480963477,0.812706660790931,0.572423834339866,0.789078562917744,0.577862416360225,0.55095962417689,0.616944679767989,0.631768028624308,0.669214025330613,0.638781135221805,0.614274083155576,0.554020348637305,0.694585397398577,0.590844128110471,0.52226733335027,0.546246626567584,0.691283748679369,0.579093896755696,0.573313905994654,0.612855324898627,0.449903587780382,0.604066238852163,0.675802338399032,0.540848033314428,0.443943362617771,0.570190725863759,0.599894051841612,0.551643051687426,0.68912378048764,0.670586242846202,0.545661064747749,0.551605139910794,0.607795989307756,0.639111598376946,0.510351507187795,0.554991669597961,0.733547746941647,0.677937592824247,0.57650703244008,0.509070369523458,0.595471949312874,0.544153303042269,0.45394463422753,0.755891965796726,0.566013967461765,0.579046211051328,0.541070288102172,0.600361813319982,0.596814317735243,0.605830947030064,0.628740402729424,0.630427516205086,0.661153374131152,0.573607797260147,0.575186771703432,0.558633181597341,0.571355097429964,0.548533513450687,0.588578531485343,0.572920531596461,0.632417793753601,0.563606741363778,0.657315532491987,0.41578488269865,0.510424635774471,0.555244017371108,0.454935295445679,0.642983818599417,0.694021332006599,0.544299456166191,0.702539223174747,0.730769117917401,0.538733561234869,0.525336051811269
"GSM254630",0.698722817483152,0.469503837800731,0.727891621582195,0.438930449202692,0.649444752023587,1,0.655977371407642,0.644724864260606,0.689367433529823,0.590171646424325,0.603482076604255,0.688508149827165,0.650747696840102,0.587619844718591,0.81125806323082,0.527656880018544,0.731463703607283,0.683327519893106,0.405936814727168,0.490918826175574,0.788682652432314,0.452563790826343,0.66908032747464,0.68825999154658,0.481770011795829,0.651680862967512,0.533733865605294,0.671101552570968,0.456590883555637,0.667820963591931,0.483248133927166,0.723818682660446,0.748025960789023,0.413474767076053,0.767045866643843,0.45881910024828,0.734431336605546,0.525697501717986,0.66496160427223,0.658021664948891,0.488734666965187,0.759196026108745,0.624730116236994,0.637961435157792,0.490182484325066,0.750018298531469,0.554038298190024,0.654445609142179,0.465385310298298,0.728368508815107,0.721211729183937,0.523043648419994,0.643601174488458,0.599519256103839,0.556440231440776,0.693866277947254,0.427248196674526,0.673875161418984,0.532955580053777,0.785980449495733,0.454411914859979,0.703199497358338,0.768547525191304,0.721254555005743,0.446968717901957,0.609192909650842,0.548329663810243,0.667033098094811,0.476938590693612,0.675125269782507,0.656011013974146,0.673994589070037,0.684774080623579,0.716780208182046,0.499191181066819,0.570563884764258,0.64241393922365,0.500246410263021,0.567701190070556,0.609305529417176,0.709250336563544,0.596624806839602,0.6421414413886,0.617626496868018,0.702974937569777,0.687062800525468,0.504310416308701,0.521188400393644,0.487347915674164,0.650677862928485,0.476788116193271,0.669837012965776,0.581792575257509,0.7457410040983,0.460553938775825,0.682179751196726,0.591044383715399,0.755067444424515,0.665332053062346,0.502598187610203,0.642153927113827,0.718301855896226,0.502598204285209,0.706818374473874,0.757836173283585,0.497691547714248,0.495622278094246
"GSM254631",0.778825095394265,0.469462033280727,0.687065092901083,0.444901476788075,0.638202775010328,0.655977371407642,1,0.711366772020203,0.779587445016562,0.591480302739127,0.554455141155398,0.728116523600072,0.773138911699007,0.558656320199038,0.673344276639491,0.481939771465122,0.737108715165303,0.480878628514932,0.431714308191321,0.469575501645691,0.66714701335919,0.43892823257679,0.677288692157593,0.622398012657976,0.450072721255359,0.760300899941662,0.499301242258139,0.633515711733619,0.419297101113685,0.641910112388298,0.477249548150447,0.683643273858295,0.731644412152017,0.398643454865355,0.757154109398073,0.45029401657342,0.683179396084276,0.51818514303862,0.665197651558623,0.834487220867437,0.492002091691602,0.740342766718986,0.61320606035232,0.813807001642928,0.486475729751603,0.707904889307746,0.527501739329928,0.65786105980992,0.470376111200202,0.74929292426049,0.694949639678781,0.52850173813493,0.606631670658875,0.601226715293263,0.541943101032974,0.81509097848766,0.404454262321057,0.609362290029409,0.524975317026611,0.734710300217537,0.467814701189563,0.722345137584671,0.75707732142867,0.736768568513974,0.464101430317779,0.72452643793921,0.53092085767978,0.661038072785477,0.457825715515289,0.645031451831263,0.661701753608712,0.743329775339174,0.599874803309536,0.688368208039212,0.482364827223954,0.642715310055648,0.686248545859348,0.457087435393034,0.529095329803675,0.595684122081011,0.626077606206675,0.576526095695843,0.679163414733969,0.578597938647009,0.692227549045965,0.662441605739175,0.518111191628527,0.511506391493594,0.48866615236028,0.599474319595234,0.479017941682888,0.651230198675213,0.550908042692365,0.624635319812543,0.436428727179157,0.679491891944272,0.493026577886292,0.637323463223335,0.599856249910679,0.551578229820174,0.601677806945611,0.681366060880089,0.495751245009771,0.685166464463811,0.716246875243194,0.483429462261901,0.471443914382765
"GSM254632",0.746075437221158,0.740445406240687,0.503083570981239,0.720196730792193,0.632519355660802,0.644724864260606,0.711366772020203,1,0.578834876381604,0.812562514860833,0.712763138775193,0.633824409473145,0.720919884342169,0.722732906777612,0.645673051603577,0.734554620220892,0.693942421498622,0.273217675953857,0.705233819785523,0.713581966823227,0.682967246379138,0.711040351948601,0.558011393408003,0.719248841875092,0.716548862781305,0.630381830226725,0.727111143013372,0.575927224239376,0.689094748402572,0.75627930665118,0.720675986748039,0.722674423662641,0.629441959665591,0.700655887161446,0.70138007197912,0.718573397286141,0.702283017947787,0.757199670933893,0.577765114247901,0.648364678902814,0.758705825680812,0.63626307090929,0.768323984051167,0.605596328739802,0.735005940998717,0.68161867893608,0.763257572873132,0.542712991934896,0.726869224811856,0.635872608506925,0.627204122481213,0.777691825713148,0.808563664788584,0.450662730596657,0.766561474614402,0.670327897953318,0.679824752552243,0.433331746056922,0.742883742393114,0.653119021285226,0.769534757970481,0.647716382928407,0.675966319166029,0.568295288799837,0.724810569199712,0.482149531416391,0.75689398038152,0.572396984967495,0.73161477860005,0.759496889169056,0.850236972586406,0.539287568056169,0.390291400918014,0.51006837290533,0.760096972462179,0.465687276097382,0.625753950761661,0.684164762785444,0.755094376626452,0.569953820270321,0.610027140341332,0.763058449306023,0.568014122829296,0.77456307582051,0.698283703006794,0.815440640432619,0.761280270558935,0.744411837542894,0.756097731238924,0.575847172062606,0.718795543779342,0.542827120108697,0.787577410958755,0.621671933888743,0.678389899494123,0.629177807150771,0.513567130482608,0.500868611554091,0.603254486192582,0.497442877852742,0.774254263816539,0.777431923992175,0.768919837334848,0.567831417952716,0.775979681035085,0.739860528496915,0.745702203323325
"GSM254633",0.71475332913051,0.309577892425568,0.700428811893862,0.260868603666154,0.669605500834306,0.689367433529823,0.779587445016562,0.578834876381604,1,0.44893026502413,0.41901899627136,0.823245169749895,0.70206983101598,0.431404721563614,0.720191830274784,0.32634142827766,0.733366873559064,0.557583894233365,0.280392712504019,0.310275637808218,0.613082595464748,0.28972685156376,0.709549359699117,0.562528350001951,0.299926816042906,0.672518232172882,0.350538547794614,0.697702815694773,0.253042554656821,0.594177730941356,0.307031904600958,0.605145110902458,0.769536759315416,0.240461297960708,0.798797267529941,0.302005750910147,0.716214545977348,0.383470424985755,0.735682798629165,0.756150582932404,0.347919424440132,0.730704221716341,0.467632207639995,0.796678756252907,0.331869024719423,0.700301914200826,0.37456308850258,0.670103826578858,0.311860322601171,0.797681243366069,0.73255377181981,0.371595195176869,0.456968463934561,0.643298336069452,0.394651701140263,0.834113942751222,0.262089214413504,0.707774443772286,0.379142400157639,0.690140834220391,0.312028305716174,0.735294567842403,0.776701161660087,0.805308363817453,0.321934169766376,0.74843159144277,0.380870480785854,0.67631991591238,0.290682781818301,0.604641418786561,0.490317752643873,0.776586497354438,0.645804488327343,0.674409295663392,0.324130372941577,0.660426714810532,0.707996465063969,0.296367526372423,0.382038200495338,0.579949933450437,0.627769184355216,0.403198753189632,0.778970875507295,0.443131663391336,0.667721101987876,0.545768657318286,0.355804705947024,0.356419330635896,0.330914063117188,0.632017514968715,0.324949732891927,0.701739482710178,0.376211659061312,0.718911129315366,0.275334022238251,0.667764371674678,0.533737024367444,0.627253032238952,0.543652430829062,0.538470904227574,0.454328284534052,0.668711476655359,0.340570402122411,0.723497843796734,0.690200815856,0.321215057943377,0.311916458873696
"GSM254634",0.671457392516434,0.92095780267735,0.414575107761437,0.896690242609441,0.652965692355986,0.590171646424325,0.591480302739127,0.812562514860833,0.44893026502413,1,0.890203797785809,0.468993639729605,0.648991772017218,0.862173024865022,0.593521652888062,0.901928676450891,0.55196421973399,0.245257786282705,0.88024695379192,0.877147771836047,0.644886504141569,0.899714126938151,0.422422999875028,0.768172846026649,0.909317457335426,0.5344917295206,0.882493659542408,0.516537445722609,0.880484772209899,0.741093729742423,0.924686625440981,0.754065718190271,0.537307321973144,0.862249227890528,0.626347792479857,0.910293206920686,0.649806331504886,0.933157838779218,0.40601083283506,0.513710296825111,0.905920373178477,0.572998220191406,0.911852654208477,0.429220059396216,0.918938979193289,0.602066728956775,0.93548497176729,0.424494775466485,0.903501819661805,0.526668984420967,0.48639824879777,0.920252911973805,0.897997417856737,0.331760974748213,0.936570496613763,0.538107194212533,0.853690999518636,0.324645998524252,0.925122968578925,0.551545961359833,0.898235911854385,0.54621739394467,0.577310477020798,0.397490440445705,0.895323794745245,0.418600041277772,0.903360835878419,0.375503752233232,0.909794414061201,0.756929302995156,0.896804943122535,0.425940847103956,0.317487688229727,0.514624969172183,0.910989700413446,0.334301377238314,0.557027492762536,0.892814969127321,0.88807707139947,0.499289103927802,0.559763496146752,0.912640190331549,0.458666828543867,0.930724151110519,0.614715345315321,0.866211865470789,0.898177645220151,0.873022988619066,0.912078546177802,0.487641536584415,0.898701457498009,0.450566002615687,0.924260537048725,0.514170482655239,0.896190367126601,0.564573567165949,0.333277160544862,0.477770363352484,0.612406248447375,0.39621459874379,0.921543926528714,0.732088370590515,0.909051063582053,0.503515746545742,0.758746964831035,0.911184274566098,0.907042498066543
