"Sample_ID","PC1","PC2","PC3","Group"
"GSM254625",-13.844062563061,42.6076016279527,-19.0736026872478,"Tumor"
"GSM254626",47.6054717541123,22.2866217537393,9.14500806959601,"Normal"
"GSM254627",-47.6112120219982,-14.0747269849611,17.6136051675415,"Tumor"
"GSM254628",44.9229525426589,15.6576610894394,16.7018913175263,"Normal"
"GSM254629",-12.3506267103261,2.84787973884302,5.93491363437082,"Tumor"
"GSM254630",-24.6494916667449,8.61552272518269,10.8775701274301,"Tumor"
"GSM254631",-29.7993277587717,-15.1221328063801,7.34213367557113,"Tumor"
"GSM254632",2.64991286221605,8.58758499211014,-1.05953425683674,"Normal"
"GSM254633",-37.0340851777908,-17.1645584631248,-2.95517577447006,"Tumor"
"GSM254634",26.4317122556526,-29.2448098218029,-0.0341340817269776,"Normal"
"GSM254635",28.4821670866253,-36.4156259622672,-6.29327174072327,"Normal"
"GSM254636",-39.1057535490692,-19.8789442892524,-18.6723290207623,"Tumor"
"GSM254637",-21.7483497694832,-9.84653970654325,3.09167953322331,"Tumor"
"GSM254638",19.814882997046,-26.8434001196231,1.14543883392681,"Normal"
"GSM254639",-20.9442286430427,-38.7062097322184,-21.9744579043408,"Tumor"
"GSM254640",37.1146017107938,-11.2864276590104,12.5009146288728,"Normal"
"GSM254641",-28.7430353812859,4.17398583226378,7.09424706173863,"Tumor"
"GSM254642",-51.7562157990839,5.16496187708,33.4430508494145,"Tumor"
"GSM254643",39.9215012578148,1.29116775788724,22.0916613636475,"Normal"
"GSM254644",41.0983936246033,-16.0890649308676,11.0171942930839,"Normal"
"GSM254645",-16.3474620899919,-20.7797116229038,5.63389052565742,"Tumor"
"GSM254646",39.6947727226812,29.9991043714289,9.02617434284396,"Normal"
"GSM254647",-44.3855443813611,8.12360129614703,-5.13006514172394,"Tumor"
"GSM254648",2.552133851336,-0.276981950620851,7.84597678419138,"Tumor"
"GSM254649",46.3508444329273,28.3372150884952,1.23847113184865,"Normal"
"GSM254650",-29.1421669006231,40.7690285603555,12.5823458693482,"Tumor"
"GSM254651",35.0226659372261,11.9842629655362,1.02291969755032,"Normal"
"GSM254652",-21.0468558861951,0.924513699449504,-8.88625085388782,"Tumor"
"GSM254653",46.145057954218,13.5757435441681,-9.68587344212799,"Normal"
"GSM254654",-3.3663682979401,-14.571237737519,8.13523730698034,"Tumor"
"GSM254655",41.1782477193902,2.64669549834221,-9.86387773627906,"Normal"
"GSM254656",-1.45811358592243,-27.2755201894708,-2.36410957109084,"Tumor"
"GSM254657",-17.0759052228546,-29.2246148008805,8.58383382730694,"Tumor"
"GSM254658",43.6171037760638,13.4518977346633,8.14488899171301,"Normal"
"GSM254659",-21.4857258243454,-5.14407140337837,-10.6618467212426,"Tumor"
"GSM254660",38.698834628543,-0.14531642729547,-4.07651038214166,"Normal"
"GSM254661",-12.0041805076003,1.27377213514396,-0.746955748801256,"Tumor"
"GSM254662",39.1002834664941,12.2120569989984,-16.9280645652333,"Normal"
"GSM254663",-40.5854095438582,22.2723467930242,15.5576525747449,"Tumor"
"GSM254664",-34.9614193896397,-4.38685064490072,1.40043780104519,"Tumor"
"GSM254665",32.374194638805,4.42607308644176,13.1353089453871,"Normal"
