"Probe_ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","Regulation","Gene_Symbol"
"217346_at",0.184416336201266,5.90583528391589,4.2527974074378,4.49160713863394e-05,0.00016578844106374,0.992424024015187,"Not Significant",NA
"218737_at",0.199262017078114,5.28443818699065,4.25219801416617,4.50191888033705e-05,0.000166141534300348,0.990228342307391,"Not Significant","SBNO1"
"221848_at",0.252035759931386,7.47628992050467,4.25200453039024,4.50525236093542e-05,0.000166237023279887,0.989519624728342,"Not Significant","ZGPAT"
"201699_at",0.405584485363476,8.3112007552243,4.24984015501688,4.5427039351575e-05,0.000167589305112727,0.981593236276059,"Not Significant","PSMC6"
"202198_s_at",0.163679902671359,6.74065418023365,4.2497997888852,4.54340525147416e-05,0.000167589305112727,0.981445434529712,"Not Significant","MTMR3"
"209437_s_at",-0.263849966195637,7.50019327581308,-4.24924281118199,4.55309274878737e-05,0.000167918844292004,0.979406146969949,"Not Significant","SPON1"
"212359_s_at",-0.226142045526389,9.32181630229907,-4.24822463407443,4.5708532299389e-05,0.000168545958170989,0.975678742152982,"Not Significant","ZSWIM8"
"210656_at",0.300748723824419,4.97777900974766,4.24808886668116,4.57322650309933e-05,0.000168605569438389,0.975181764760255,"Not Significant","EED"
"219790_s_at",-0.194356566055595,6.21222946716822,-4.24789329897388,4.57664719417596e-05,0.000168703770765629,0.974465907863386,"Not Significant","NPR3"
"207346_at",-0.282615761805066,6.0007373151215,-4.24716200011006,4.58946021320426e-05,0.000169130942260518,0.971789266665367,"Not Significant","STX2"
"215602_at",-0.132588580228009,5.55735802411215,-4.24714527478481,4.58975365906455e-05,0.000169130942260518,0.971728053823598,"Not Significant","FGD2"
"214712_at",-0.108222040669951,4.18627116885981,-4.24662414688158,4.59890589108227e-05,0.000169440178523456,0.96982086948326,"Not Significant","SNX29P2"
"222311_s_at",-0.273898233759676,6.89359130519626,-4.24641457044438,4.60259149088644e-05,0.000169547935512353,0.969053924638286,"Not Significant","SCAF4"
"210233_at",0.342157502492962,4.60976872624299,4.24599540461016,4.60997143921519e-05,0.000169791724925673,0.967520068570487,"Not Significant","IL1RAP"
"213835_x_at",0.156263396274454,7.91114043611215,4.24576271178903,4.614073201704e-05,0.000169914713524327,0.966668620975393,"Not Significant","GTPBP3"
"201686_x_at",0.185823464496482,8.21799171600935,4.24476224945407,4.63174872682989e-05,0.000170537437012476,0.96300820316515,"Not Significant","API5"
"204504_s_at",-0.150652210989091,7.7354930698972,-4.24398486368704,4.64552799967125e-05,0.000171016521421898,0.960164386626542,"Not Significant","HIRIP3"
"216769_x_at",-0.141294690356439,4.55153244416822,-4.24375661922659,4.64958114288361e-05,0.000171137457229725,0.959329498083268,"Not Significant",NA
"212558_at",-0.389417923052779,9.85679404585981,-4.24302252553004,4.66264017032292e-05,0.000171589778555418,0.956644496232689,"Not Significant","SPRY1"
"208545_x_at",0.175296072438071,4.88308727245794,4.24218105686721,4.67765269718865e-05,0.000172113829345203,0.953567170554767,"Not Significant","TAF4"
"41329_at",0.241708259263546,7.09248421211215,4.2418806198747,4.68302400015912e-05,0.000172283017658157,0.952468551375454,"Not Significant","SCYL3"
"201851_at",0.184007843476777,8.31085422617757,4.24180488776338,4.68437889697017e-05,0.000172304415584659,0.95219162770328,"Not Significant","SH3GL1"
"212242_at",0.428948733078113,8.92510732069159,4.24092834526973,4.70008825890166e-05,0.000172853716245429,0.948986700490642,"Not Significant","TUBA4A"
"214470_at",-0.362596398478184,8.01069157859813,-4.240414438176,4.70932201811025e-05,0.000173164723646123,0.947107907405479,"Not Significant","KLRB1"
"206574_s_at",0.473548502738916,7.21907113117757,4.24032205547082,4.71098377637558e-05,0.000173197247135748,0.946770182696075,"Not Significant","PTP4A3"
"205863_at",-0.298561832380014,7.31007241651402,-4.23936605716781,4.72821317640973e-05,0.000173802002985711,0.943275635390603,"Not Significant","S100A12"
"221703_at",0.153535987897255,5.07236207648598,4.23911893131139,4.73267682426625e-05,0.000173932079622674,0.942372385410711,"Not Significant","BRIP1"
"202886_s_at",0.396180823265307,7.24040773669159,4.23908372948624,4.73331297774938e-05,0.000173932079622674,0.942243725092541,"Not Significant","PPP2R1B"
"212497_at",0.168905476589021,7.25009776085047,4.23882537525413,4.7379843692943e-05,0.000174075030009868,0.941299481004454,"Not Significant","MAPK1IP1L"
"204458_at",-0.2663372642171,6.69956271950467,-4.23866735802771,4.74084371672811e-05,0.000174151369172193,0.940721973160913,"Not Significant","PLA2G15"
"218134_s_at",-0.234362854902533,8.40582389761682,-4.23860249633413,4.74201787971206e-05,0.000174165789374689,0.940484926644543,"Not Significant","RBM22"
"216525_x_at",0.236245516695637,8.18119314064486,4.23718906084137,4.76767420902395e-05,0.000175079242583521,0.93531996433459,"Not Significant","PMS2P3"
