"Probe_ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","Regulation"
"208270_s_at",0.210925689173821,9.64537682524299,2.9641485170544,0.00373202270809623,0.00940362135104264,-3.16859695213056,"Not Significant"
"220108_at",-0.248764478331456,8.32086623280374,-2.96412863420157,0.00373224553375314,0.00940362135104264,-3.16865176287001,"Not Significant"
"218931_at",-0.21874095801337,8.63689694943925,-2.96402316581081,0.00373342771520921,0.00940553643617939,-3.16894250065766,"Not Significant"
"212406_s_at",0.340243584999297,8.81257099659813,2.96371880688671,0.00373684116980751,0.00941307164671272,-3.16978145764201,"Not Significant"
"207563_s_at",0.311022082315622,8.66902340773832,2.96337382171676,0.00374071373438729,0.00942176151727727,-3.17073231125153,"Not Significant"
"202017_at",-0.438111864452146,10.9602191229159,-2.96255529517244,0.00374991674805163,0.00944387374512143,-3.17298797084235,"Not Significant"
"214703_s_at",-0.216644451522519,7.58093649335514,-2.96176877775024,0.00375877952235444,0.00946512420574348,-3.17515492226839,"Not Significant"
"213324_at",0.144969661243139,8.94463634741122,2.96142268281149,0.00376268556234404,0.00947388953510873,-3.17610830112677,"Not Significant"
"203340_s_at",0.173097592602392,7.80392467427103,2.96134785140615,0.00376353060390805,0.00947494661020033,-3.17631442483276,"Not Significant"
"201944_at",-0.264418753293103,10.8271537774953,-2.96104208730371,0.00376698529478662,0.00948257267552307,-3.17715660851102,"Not Significant"
"213483_at",-0.208397389185433,7.65762780253271,-2.96036027751581,0.00377469928126781,0.00950091766457592,-3.17903429034323,"Not Significant"
"206745_at",0.15617017227938,8.42144667933645,2.95911787223411,0.00378879327400509,0.00953531517107019,-3.18245488879209,"Not Significant"
"201452_at",0.183057083358199,5.45292918153271,2.95892600284381,0.0037909741800475,0.00953972644313929,-3.1829830360726,"Not Significant"
"200095_x_at",0.137352668455314,13.5430093238318,2.95829659930018,0.00379813649220996,0.00955667067027038,-3.18471535280735,"Not Significant"
"215786_at",0.162444222090781,6.01523264047664,2.95777870278125,0.00380403925472821,0.0095695823331419,-3.18614053215136,"Not Significant"
"200618_at",0.158194414566151,10.7011052132056,2.95777101620264,0.00380412692666925,0.0095695823331419,-3.18616168295137,"Not Significant"
"218849_s_at",0.210768070221322,8.66046381262617,2.95743620731706,0.00380794751254522,0.00957799470582516,-3.18708291560561,"Not Significant"
"203106_s_at",0.105486219510204,5.39086548557944,2.95740264416545,0.00380833070473504,0.00957799470582516,-3.18717526032988,"Not Significant"
"213473_at",-0.153798582993314,7.93157851353271,-2.95662142730757,0.00381725993930494,0.00959936838139397,-3.18932442698436,"Not Significant"
"207105_s_at",0.165471680409922,7.73703693103738,2.95653412600029,0.00381825898211571,0.00960079721264775,-3.18956456725916,"Not Significant"
"206940_s_at",0.144239615870865,5.77922093839252,2.95620931434712,0.00382197811815018,0.00960906447103017,-3.19045797584437,"Not Significant"
"214048_at",0.123711556214637,5.23142403962617,2.9549033847823,0.00383696488814444,0.00964565530263115,-3.19404914951661,"Not Significant"
"218647_s_at",0.167398279357143,8.32061655637383,2.95447748212887,0.00384186421514769,0.00965688215523248,-3.19522004675715,"Not Significant"
"208712_at",-0.475134107081279,9.09707785478505,-2.95421873749965,0.0038448434702117,0.00966328074066402,-3.19593132084386,"Not Significant"
"217679_x_at",-0.251795323351513,6.62046766964486,-2.95352110561644,0.00385288679777752,0.00968240402784217,-3.19784880671912,"Not Significant"
"205531_s_at",0.221875661097817,6.51180112153271,2.9534018447986,0.00385426336226983,0.00968477114360155,-3.19817656415776,"Not Significant"
"206792_x_at",-0.234997367296622,10.1917079917477,-2.95313399763674,0.0038573566315827,0.00969145087626083,-3.19891263160917,"Not Significant"
"210610_at",0.134508512972554,7.29532637007477,2.95305700337399,0.00385824623328978,0.0096925931021867,-3.199124208077,"Not Significant"
"216123_x_at",-0.136186137757917,6.71623991928037,-2.95289395817799,0.00386013070245107,0.00969623407087332,-3.19957223281152,"Not Significant"
"209232_s_at",0.126366141888811,8.57433983379439,2.95251356573519,0.00386453055801553,0.00970619188731515,-3.20061741468914,"Not Significant"
"204418_x_at",-0.27651832124701,9.1924467187757,-2.95211262638457,0.00386917307141991,0.00971675685229909,-3.20171892810722,"Not Significant"
"217971_at",0.228594811133356,9.15347108795327,2.95203852609405,0.0038700316476331,0.00971781780529731,-3.20192249225744,"Not Significant"
"209870_s_at",0.168300085190007,8.06304124933645,2.95186499154972,0.00387204302321011,0.00972177292238771,-3.20239919958742,"Not Significant"
"203440_at",0.20559203366608,5.39868468781308,2.95126921591862,0.00387895577002572,0.00973803193144246,-3.2040356410688,"Not Significant"
"217762_s_at",-0.301817370027797,9.84246891084112,-2.95104628240258,0.00388154537433397,0.00974272097744737,-3.20464790949505,"Not Significant"
"203411_s_at",-0.320819391332864,10.1250845033925,-2.95103314628583,0.00388169801363271,0.00974272097744737,-3.20468398552343,"Not Significant"
"64418_at",-0.127416648485574,8.08649071445794,-2.95053487460713,0.00388749192355283,0.00975561677312576,-3.20605229994914,"Not Significant"
"201670_s_at",0.294742762170655,9.91633557885047,2.9505159985242,0.00388771157139329,0.00975561677312576,-3.20610413209618,"Not Significant"
"218404_at",-0.370519617140745,8.07492906550467,-2.94948068869575,0.00389977626997324,0.00978478939576779,-3.20894657428303,"Not Significant"
"38398_at",-0.108299892287473,8.7583520318972,-2.94893573088676,0.00390614062734768,0.009799654537175,-3.21044241445058,"Not Significant"
"203919_at",-0.234846100438423,7.18461426833645,-2.94807786921131,0.00391617865220648,0.00982273114783267,-3.21279665952411,"Not Significant"
"214713_at",0.109211425154819,8.14592677766355,2.94807428898346,0.00391622059495335,0.00982273114783267,-3.21280648358568,"Not Significant"
"209150_s_at",0.191576126472906,9.38818031942056,2.94797026480533,0.00391743942979115,0.00982468236511381,-3.21309191906671,"Not Significant"
"218766_s_at",0.167635439138987,6.39948447345794,2.94774337477164,0.00392009907627601,0.00982964515639223,-3.21371446061055,"Not Significant"
"202996_at",0.167053379816678,8.52394146629907,2.94772619564862,0.00392030052079423,0.00982964515639223,-3.21376159507825,"Not Significant"
"205642_at",-0.112646840500704,8.46577320925234,-2.94707357352541,0.00392796031113561,0.00984774298076449,-3.21555202534823,"Not Significant"
"219280_at",0.118121558038705,4.97700608040187,2.94657902437072,0.00393377398289275,0.009861208871729,-3.21690856702461,"Not Significant"
"222019_at",0.107535073167135,7.11383380002804,2.94650161939506,0.00393468463366965,0.00986238219258277,-3.21712087029273,"Not Significant"
"213477_x_at",-0.0834109698170296,13.6987062903738,-2.94531172114707,0.00394870794571475,0.00989641875541128,-3.22038387812659,"Not Significant"
"206051_at",0.175960619070021,6.33714798981308,2.94485814379855,0.00395406559491191,0.00990873185463587,-3.22162740881528,"Not Significant"
"219536_s_at",0.112780580743842,6.01828010533645,2.94464819799095,0.00395654773688673,0.0099132550614292,-3.22220294244251,"Not Significant"
"203923_s_at",-0.445537922714989,8.12384224261682,-2.9446302216542,0.00395676033372308,0.0099132550614292,-3.22225222013722,"Not Significant"
"63825_at",-0.349132078524982,9.20698684387851,-2.94451960354709,0.00395806878834798,0.00991541841604925,-3.22255544676535,"Not Significant"
"220720_x_at",-0.216083876195286,8.41395842184112,-2.94444062657786,0.00395900321710296,0.00991664441172495,-3.22277193269431,"Not Significant"
"203015_s_at",0.140478153416256,6.91162009585981,2.94392765107274,0.0039650775148501,0.00993074320146172,-3.22417794353077,"Not Significant"
"218010_x_at",0.275040509197044,9.2965672741028,2.94307449888157,0.00397519895120184,0.0099549739525321,-3.22651588023839,"Not Significant"
