"SYMBOL","ENTREZID"
"FAP","2191"
"PLOD2","5352"
"MMP12","4321"
"RRM2","6241"
"HBEGF","1839"
"CLU","1191"
"ZWINT","11130"
"FGFR2","2263"
"CDC20","991"
"HYAL2","8692"
"PCOLCE2","26577"
"BOLA2","552900"
"HSD17B6","8630"
"KLF9","687"
"CCNB1","891"
"MRPS17","51373"
"PMP22","5376"
"NUSAP1","51203"
"MAOA","4128"
"TIMP1","7076"
"HPRT1","3251"
"ECT2","1894"
"NEBL","10529"
"SLC1A1","6505"
"ARHGAP44","9912"
"EPCAM","4072"
"EFEMP1","2202"
"SOBP","55084"
"TYMS","7298"
"SERPING1","710"
"C7","730"
"ALDH2","217"
"PER1","5187"
"TOX3","27324"
"PPP1R15A","23645"
"CENPU","79682"
"LDLR","3949"
"PRELP","5549"
"COL1A1","1277"
"PHLDA2","7262"
"CENPF","1063"
"CA2","760"
"FOXF2","2295"
"FHL2","2274"
"PFKP","5214"
"ADAMTS1","9510"
"SEMA6A","57556"
"IGFBP3","3486"
"MCM4","4173"
"CDH1","999"
"CDH3","1001"
"AK1","203"
"CCNB2","9133"
"NRN1","51299"
"STK39","27347"
"WASF3","10810"
"PAPSS2","9060"
"SRD5A1","6715"
"TMEM106B","54664"
"ITGA8","8516"
"ETS2","2114"
"MARCKSL1","65108"
"RTN1","6252"
"RCAN1","1827"
"COL13A1","1305"
"SORD","6652"
"MELK","9833"
"COLEC12","81035"
"TIMP3","7078"
"SLC6A4","6532"
"NPR3","4883"
"MYLK","4638"
"TFAP2A","7020"
"MYL9","10398"
"F8","2157"
"EFNA4","1945"
"COL3A1","1281"
"H2BC5","3017"
"PLSCR4","57088"
"DOCK9","23348"
"CDK1","983"
"LAMA4","3910"
"RFC4","5984"
"PTGER4","5734"
"TPX2","22974"
"LSM5","23658"
"TCF4","6925"
"CKS1B","1163"
"FEN1","2237"
"ASPM","259266"
"CES1","1066"
"CDKN1C","1028"
"KCNN4","3783"
"ZBED2","79413"
"CLDN4","1364"
"NDNF","79625"
"ADGRL4","64123"
"NET1","10276"
"RGS17","26575"
"MAD2L1","4085"
"SLC2A1","6513"
"DSG2","1829"
"CLDN3","1365"
"NEK2","4751"
"RUFY2","55680"
